address,name,address2 ,city,postcode ,lat,lng,formatted,name,housenumber,street,postcode,district,suburb,city,county,county_code,state,state_code,country,country_code,confidence,confidence_city_level,confidence_street_level
30 THE DRIVE,,HOVE,SUSSEX,BN3 3JD,50.834252,-0.1667637,"The Drive, Hove, BN3 6GT, United Kingdom",The Drive,,The Drive,BN3 6GT,,Brunswick,Hove,Brighton and Hove,BNH,England,ENG,United Kingdom,gb,0.44099999999999995,0.7,0.7
32 THE DRIVE,HOVE,SUSSEX,,BN3 3JD,50.8280016,-0.1682944,"The Drive, Hove, BN3 3JE, United Kingdom",The Drive,,The Drive,BN3 3JE,,Brunswick,Hove,Brighton and Hove,BNH,England,ENG,United Kingdom,gb,0.44099999999999995,0.7,0.7
98 THE DRIVE,HOVE,SUSSEX,,BN3 6GP,50.8362089,-0.166246,"The Drive, Hove, BN3 6GP, United Kingdom",The Drive,,The Drive,BN3 6GP,,Brunswick,Hove,Brighton and Hove,BNH,England,ENG,United Kingdom,gb,0.7,1,1
75 DYKE ROAD AVENUE,HOVE,SUSSEX,,BN3 6DA,50.8552487,-0.1705642,"Victoria Chartwell, 81 Dyke Road Avenue, Hove, BN3 6DA, United Kingdom",Victoria Chartwell,81,Dyke Road Avenue,BN3 6DA,,Withdean,Hove,Brighton and Hove,BNH,England,ENG,United Kingdom,gb,0.63,1,1
EDBURTON 1,BGH,,,,50.8893937,-0.240049912,"Paythorne Farm Cottages, 1 Edburton Road, Mid Sussex, BN5 9LP, United Kingdom",Paythorne Farm Cottages,1,Edburton Road,BN5 9LP,Poynings,,Mid Sussex,West Sussex,WSX,England,ENG,United Kingdom,gb,0.81,,
EDBURTON 2,BGH,,,,50.889387299999996,-0.239992479,"2 Edburton Road, Mid Sussex, BN5 9LP, United Kingdom",,2,Edburton Road,BN5 9LP,Poynings,,Mid Sussex,West Sussex,WSX,England,ENG,United Kingdom,gb,0.81,,
EDBURTON 3,BGH,,,,50.888944249999994,-0.244020942,"3 Edburton Road, Horsham, BN5 9LN, United Kingdom",,3,Edburton Road,BN5 9LN,Upper Beeding,,Horsham,West Sussex,WSX,England,ENG,United Kingdom,gb,0.81,,
E3 ANNEXE,BGH,,,,51.770648300000005,-1.256333024,"Annexe, Linton Road, Oxford, OX2 6UL, United Kingdom",Annexe,,Linton Road,OX2 6UL,,North Oxford,Oxford,Oxfordshire,OXF,England,ENG,United Kingdom,gb,0.7777777777777778,,
24 EATON PLACE,,BRIGHTON,SUSSEX,BN2 1EX,50.8173837,-0.1160597,"24 Eaton Place, Brighton, BN2 1EG, United Kingdom",,24,Eaton Place,BN2 1EG,,Kemptown,Brighton,Brighton and Hove,BNH,England,ENG,United Kingdom,gb,0.48999999999999994,0.7,0.7
3 EATON GARDENS,,HOVE,SUSSEX,BN3 3TL,50.832062,-0.1691688,"Eaton Gardens, Hove, BN3 3UA, United Kingdom",Eaton Gardens,,Eaton Gardens,BN3 3UA,,Brunswick,Hove,Brighton and Hove,BNH,England,ENG,United Kingdom,gb,0.44099999999999995,0.7,0.7
EGREMONT,RSCH,,,,54.4838316,-3.5327921,"Egremont, ENG, United Kingdom",,,,,,,Egremont,Cumberland,,England,ENG,United Kingdom,gb,1,1,
ELTON JOHN CENTRE,BGH,,,,52.059255,1.123664,"Elton Park Business Centre, Ipswich, United Kingdom",,,Elton Park Business Centre,,,Westbourne,Ipswich,Suffolk,SFK,England,ENG,United Kingdom,gb,0.81,,
32 ELDRED AVENUE,,BRIGHTON,SUSSEX,BN1 5EG,50.8575323,-0.156514,"Windmill Stores, 32 Eldred Avenue, Brighton, BN1 5EG, United Kingdom",Windmill Stores,32,Eldred Avenue,BN1 5EG,,Withdean,Brighton,Brighton and Hove,BNH,England,ENG,United Kingdom,gb,0.95,1,1
ELIZABETH,RACH,,,,52.3813532,-2.47634445,"Saint Elizabeth, Pinkham Lane, Cleobury Mortimer, DY14 8AL, United Kingdom",Saint Elizabeth,,Pinkham Lane,DY14 8AL,Cleobury Mortimer Civil Parish,,Cleobury Mortimer,Shropshire,SHR,England,ENG,United Kingdom,gb,0.9,,
151 ELM GROVE,,BRIGHTON,SUSSEX,BN2 3ES,50.83155525,-0.121430474,"151 Elm Grove, Brighton, BN2 3ES, United Kingdom",,151,Elm Grove,BN2 3ES,,Round Hill,Brighton,Brighton and Hove,BNH,England,ENG,United Kingdom,gb,0.95,1,1
ELMS MEDICAL UNIT,BGH,,,,54.04178585,-2.80156964,"Medical Unit 2, Aldcliffe Yard, Lancaster, LA1 1BF, United Kingdom",Medical Unit 2,,Aldcliffe Yard,LA1 1BF,Knight's Bridge Apartments,Greaves,Lancaster,Lancashire,LAN,England,ENG,United Kingdom,gb,0.9,,
ENDOSCOPY UNIT,RSCH,,,,51.798456,-0.799896,"Endoscopy vanguard unit only, Stoke Mandeville, HP21 9GS, United Kingdom",,,Endoscopy vanguard unit only,HP21 9GS,Aylesbury Civil Parish,,Stoke Mandeville,Buckinghamshire,BKM,England,ENG,United Kingdom,gb,0.81,,
EAR NOSE & THROAT DEPT,RSCH,,,,50.7121537,-1.300453,"Ear, Nose & Throat/Audiology (Level G), Parkhurst Road, Newport, PO30 5TG, United Kingdom","Ear, Nose & Throat/Audiology (Level G)",,Parkhurst Road,PO30 5TG,Newport Civil Parish,Parkhurst,Newport,Isle of Wight,IOW,England,ENG,United Kingdom,gb,0.39133382727272736,0.2811857142857143,
FALCONHURST,,,,,51.3258394,-0.3526563,"Falconhurst, Elmbridge, KT22 0EW, United Kingdom",Falconhurst,,Falconhurst,KT22 0EW,,,Elmbridge,Surrey,SRY,England,ENG,United Kingdom,gb,1,,
47 FALMER ROAD,ROTTINGDEAN,BRIGHTON,SUSSEX,BN2 7DA,50.8077309,-0.0587613,"Falmer Road, Rottingdean, BN2 7DD, United Kingdom",Falmer Road,,Falmer Road,BN2 7DD,,,Rottingdean,Brighton and Hove,BNH,England,ENG,United Kingdom,gb,0.44099999999999995,0.7,0.7
FERN 1,BGH,,,,51.521141650000004,-0.019271872,"Asplenium Court, 1 Fern Street, London, E3 3PN, United Kingdom",Asplenium Court,1,Fern Street,E3 3PN,London Borough of Tower Hamlets,Bow,London,Greater London,,England,ENG,United Kingdom,gb,0.81,,
FRESHFIELD 1,BGH,,,,50.828277299999996,-0.122076614,"1 Freshfield Street, Brighton, BN2 9ZG, United Kingdom",,1,Freshfield Street,BN2 9ZG,,Queen's Park,Brighton,Brighton and Hove,BNH,England,ENG,United Kingdom,gb,0.81,,
FRESHFIELD 2,BGH,,,,52.6357412,1.2349654999999982,"2 Freshfield Close, Norwich, NR5 8RA, United Kingdom",,2,Freshfield Close,NR5 8RA,,West Earlham,Norwich,Norfolk,NFK,England,ENG,United Kingdom,gb,0.81,,
50 HIGHCROFT VILLAS,THE FIRS,BRIGHTON,,BN1 5PT,50.83907373333333,-0.154675467,"Brighton and Hove, BN1 5PT, United Kingdom",Brighton and Hove,,,BN1 5PT,,,,Brighton and Hove,BNH,England,ENG,United Kingdom,gb,0,1,
2A FLORENCE ROAD,BRIGHTON,,,,50.8378727,-0.1404656,"Preston Park Surgery, 2A Florence Road, Brighton, BN1 6DP, United Kingdom",Preston Park Surgery,2A,Florence Road,BN1 6DP,,Round Hill,Brighton,Brighton and Hove,BNH,England,ENG,United Kingdom,gb,0.9,,
11 FOXHILL HEATH BROW,PEACEHAVEN,BRIGHTON,SUSSEX,BN10 7SE,50.802831,-0.000367,"Peacehaven (Peacehaven), BN10 7SE, United Kingdom",BN10 7SE,,,BN10 7SE,Peacehaven,,Peacehaven,,,,,United Kingdom,gb,0,1,
FRACTURE CLINIC,RSCH,,,,51.14079075,0.9123411064878002,"Fracture Clinic, The Street, Ashford, TN24 0NA, United Kingdom",Fracture Clinic,,The Street,TN24 0NA,,Willesborough Lees,Ashford,Kent,KEN,England,ENG,United Kingdom,gb,1,,
THE FIRLONGS,ALFRISTON,SUSSEX,,,50.848437,-0.134874,"The City of Brighton and Hove, East Sussex, ENG, UK",The City of Brighton and Hove,,,,,,,East Sussex,ESX,England,ENG,United Kingdom,gb,0.25,,
12/14 GLOUCESTER STRRET,BRIGHTON,SUSSEX,,BN1 4EW,50.8288602,-0.1407393,"Brighton, Trafalgar Street, Brighton, BN1 3XP, United Kingdom",Brighton,,Trafalgar Street,BN1 3XP,,Round Hill,Brighton,Brighton and Hove,BNH,England,ENG,United Kingdom,gb,0.48999999999999994,0.7,
14 GOLDSTONE VILLAS,,HOVE,SUSSEX,BN3 3RQ,50.8319412,-0.172129,"14 Goldstone Villas, Hove, BN3 3RF, United Kingdom",,14,Goldstone Villas,BN3 3RF,,Aldrington,Hove,East Sussex,ESX,England,ENG,United Kingdom,gb,0.48999999999999994,0.7,0.7
GOODWOOD COURT SURGERY,52 CROMWELL ROAD,HOVE,SUSSEX,BN3 3DX,50.8326082,-0.1637163,"Cromwell Road, Hove, BN3 3DX, United Kingdom",Cromwell Road,,Cromwell Road,BN3 3DX,,Brunswick,Hove,Brighton and Hove,BNH,England,ENG,United Kingdom,gb,0.6649999999999999,1,1
GRANT WARD,RSCH,,,,55.924052,-3.1746,"Grant Institute, Edinburgh, EH9 3JT, United Kingdom",,,Grant Institute,EH9 3JT,,Nether Liberton,Edinburgh,Edinburgh,,Scotland,SCT,United Kingdom,gb,0.54,,
HOWARD 1,RSCH,,,,54.12179,-0.906687,"Castle Howard, Henderskelfe, YO60 7DA, United Kingdom",,,Castle Howard,YO60 7DA,Henderskelfe,,Henderskelfe,North Yorkshire,NYK,England,ENG,United Kingdom,gb,0.9,,
HOWARD 2,RSCH,,,,54.12179,-0.906687,"Castle Howard, Henderskelfe, YO60 7DA, United Kingdom",,,Castle Howard,YO60 7DA,Henderskelfe,,Henderskelfe,North Yorkshire,NYK,England,ENG,United Kingdom,gb,0.9,,
HAEMATOLOGY,RSCH,,,,52.989487,-1.156073,"Clinical Haematology, Nottingham, NG5 1PB, United Kingdom",,,Clinical Haematology,NG5 1PB,,Bestwood Park Estate,Nottingham,Nottinghamshire,NTT,England,ENG,United Kingdom,gb,0.9,,
HAILSHAM HEALTH CENTRE,VICARAGE ROAD,HAILSHAM,SUSSEX,,51.00476,-0.10069,"Haywards Heath (Mid Sussex District), ENG, United Kingdom",,,,,Haywards Heath,,Mid Sussex District,West Sussex,WSX,England,ENG,United Kingdom,gb,0.2025,0.81,
2 HANGLETON MANOR CLOSE,,HOVE,SUSSEX,BN3 8AJ,50.8477309,-0.2039348,"Hangleton Manor Close, Portslade by Sea, BN3 8AJ, United Kingdom",Hangleton Manor Close,,Hangleton Manor Close,BN3 8AJ,,Hangleton,Portslade by Sea,Brighton and Hove,BNH,England,ENG,United Kingdom,gb,0.6649999999999999,1,1
HANGLETON MANOR SURGERY,96 NOTHEASE DRIVE,HOVE,SUSSEX,BN3 8LH,50.84756,-0.2004199,"Brighton and Hove, BN3 8LH, United Kingdom",Brighton and Hove,,,BN3 8LH,,,,Brighton and Hove,BNH,England,ENG,United Kingdom,gb,0,1,
HASSOKS HEALTH CENTRE,WINDMILL AVENUE,HASSOCKS,WEST SUSSEX,BN6 8LY,50.92218,-0.1401399,"Hassocks (Mid Sussex), BN6 8LY, United Kingdom",Hassocks,,,BN6 8LY,,,Mid Sussex,West Sussex,WSX,England,ENG,United Kingdom,gb,0.6,1,
CARDIAC HDU,RSCH,,,,51.069116,0.472798,"Cardiac, Hawkhurst, United Kingdom",,,Cardiac,,Hawkhurst,,Hawkhurst,Kent,KEN,England,ENG,United Kingdom,gb,0.7272727272727273,,
DR J HEATH,,,,,51.70512,-0.191342,"Heath Drive, Potters Bar, United Kingdom",,,Heath Drive,,,,Potters Bar,Hertfordshire,HRT,England,ENG,United Kingdom,gb,0.54,,
HEATHFIELD SURGERY,,,HEATHFIELD,,50.9681882,0.24025324546537807,"Heathfield Community Centre, Sheepsetting Lane, Wealden, TN21 0XA, United Kingdom",Heathfield Community Centre,,Sheepsetting Lane,TN21 0XA,Heathfield and Waldron,Heathfield and Waldron,Wealden,East Sussex,ESX,England,ENG,United Kingdom,gb,0.6561000000000001,0.81,0.6561000000000001
50 HEATH HILL AVE,LOWER BEVENDEAN,BRIGHTON,SUSSEX,BN2 4FN,50.841673,-0.092333,"Heath Hill Avenue, Brighton, BN2 4LS, United Kingdom",Heath Hill Avenue,,Heath Hill Avenue,BN2 4LS,,Bevendean,Brighton,Brighton and Hove,BNH,England,ENG,United Kingdom,gb,0.44099999999999995,0.7,0.7
HENFIELD MEDICAL CENTRE,CHANTRY CLOSE,HENFIELD,WEST SUSSEX,BN5 9JF,50.9357003,-0.2751887,"Chantry Close, Horsham, BN5 9JF, United Kingdom",Chantry Close,,Chantry Close,BN5 9JF,,,Horsham,West Sussex,WSX,England,ENG,United Kingdom,gb,0.6649999999999999,1,1
35ACHATSWORTH ROAD,HIGHCROFT VILLAS MEDICAL PRACTICE,BRIGHTON,,BN1 5DA,50.83463,-0.15012,"Brighton and Hove, BN1 5DA, United Kingdom",Brighton and Hove,,,BN1 5DA,,,,Brighton and Hove,BNH,England,ENG,United Kingdom,gb,0,1,
HM PRISON,LEWES,SUSSEX,,HMPL,53.493138,-2.247049,"HM Prison Manchester, Manchester, United Kingdom",,,HM Prison Manchester,,,Strangeways,Manchester,Salford,SLF,England,ENG,United Kingdom,gb,0.9,,
HM PRISON,BRIGHTON ROAD,LEWES,SUSSEX,,51.00476,-0.10069,"Haywards Heath (Mid Sussex District), ENG, United Kingdom",,,,,Haywards Heath,,Mid Sussex District,West Sussex,WSX,England,ENG,United Kingdom,gb,0.2025,0.81,
HODSHROVE ROAD,MOULSECOOMB,SUSSEX,,,50.8502347,-0.1062949,"Hodshrove Road, Brighton, BN2 4PB, United Kingdom",Hodshrove Road,,Hodshrove Road,BN2 4PB,,Moulsecoomb,Brighton,Brighton and Hove,BNH,England,ENG,United Kingdom,gb,0.5,,
18 HOVE PARK VILLAS,,HOVE,SUSSEX,BN3 6HG,50.836887000000004,-0.170071732,"Hove Park Villas Surgery, 18 Hove Park Villas, Hove, BN3 6HG, United Kingdom",Hove Park Villas Surgery,18,Hove Park Villas,BN3 6HG,,West Blatchington,Hove,Brighton and Hove,BNH,England,ENG,United Kingdom,gb,0.95,1,1
HOVE POLYCLINIC,,,,,50.842064699999995,-0.18955182,"Hove Polyclinic, Nevill Avenue, Hove, BN3 7HY, United Kingdom",Hove Polyclinic,,Nevill Avenue,BN3 7HY,,Hangleton,Hove,Brighton and Hove,BNH,England,ENG,United Kingdom,gb,1,,
IAN FRASER HOUSE,OVINGDEAN,BRIGHTON,SUSSEX,,52.4808407,-1.896618295,"House of Fraser, 51-83 Corporation Street, Birmingham, B2 4UG, United Kingdom",House of Fraser,51-83,Corporation Street,B2 4UG,Chinese Quarter,Digbeth,Birmingham,West Midlands Combined Authority,,England,ENG,United Kingdom,gb,0.072163636,0.3969,0.072163636
21 INGHAM DRIVE,,BRIGHTON,SUSSEX,BN1 9LL,50.8619025,-0.11182,"Ingham Drive, Brighton, BN1 9GL, United Kingdom",Ingham Drive,,Ingham Drive,BN1 9GL,,Coldean,Brighton,Brighton and Hove,BNH,England,ENG,United Kingdom,gb,0.44099999999999995,0.7,0.7
60 ISLINGWORD ROAD,BRIGHTON,SUSSEX,,BN2 2SL,50.8288602,-0.1407393,"Brighton, Trafalgar Street, Brighton, BN1 3XP, United Kingdom",Brighton,,Trafalgar Street,BN1 3XP,,Round Hill,Brighton,Brighton and Hove,BNH,England,ENG,United Kingdom,gb,0.0567,0.3,0.189
79 ISLINGWORD ROAD,BRIGHTON,SUSSEX,,BN2 2SL,50.8288602,-0.1407393,"Brighton, Trafalgar Street, Brighton, BN1 3XP, United Kingdom",Brighton,,Trafalgar Street,BN1 3XP,,Round Hill,Brighton,Brighton and Hove,BNH,England,ENG,United Kingdom,gb,0.0567,0.3,0.189
INTENSIVE CARE UNIT,RSCH,,,,53.600952,-3.031967,"Unit Road, Southport, United Kingdom",,,Unit Road,,,,Southport,Liverpool,LIV,England,ENG,United Kingdom,gb,0.9,,
INTENSIVE CARE,RACH,,,,53.9691449,-1.08446,"Intensive Care, Wigginton Road, York, YO31 8HE, United Kingdom",Intensive Care,,Wigginton Road,YO31 8HE,The Groves,Layerthorpe,York,York,YOR,England,ENG,United Kingdom,gb,0.9,0.9,
JEAN CREE UNIT,RACH,,,,,,,,,,,,,,,,,,,,,,
JOHN HOWARD HOUSE,ROEDEAN ROAD,BRIGHTON,SUSSEX,,51.00476,-0.10069,"Haywards Heath (Mid Sussex District), ENG, United Kingdom",,,,,Haywards Heath,,Mid Sussex District,West Sussex,WSX,England,ENG,United Kingdom,gb,0.2025,0.81,
JOWERS,RSCH,,,,,,,,,,,,,,,,,,,,,,
LEVEL 11,RSCH,,,,50.830525449999996,-0.133245671,"The Level, Brighton, BN1 4ZN, United Kingdom",The Level,,,BN1 4ZN,,Round Hill,Brighton,Brighton and Hove,BNH,England,ENG,United Kingdom,gb,0.81,0.81,
LEVEL 12,RSCH,,,,50.830525449999996,-0.133245671,"The Level, Brighton, BN1 4ZN, United Kingdom",The Level,,,BN1 4ZN,,Round Hill,Brighton,Brighton and Hove,BNH,England,ENG,United Kingdom,gb,0.81,0.81,
LEVEL 13,RSCH,,,,50.830525449999996,-0.133245671,"The Level, Brighton, BN1 4ZN, United Kingdom",The Level,,,BN1 4ZN,,Round Hill,Brighton,Brighton and Hove,BNH,England,ENG,United Kingdom,gb,0.81,0.81,
LEVEL 14,RSCH,,,,50.830525449999996,-0.133245671,"The Level, Brighton, BN1 4ZN, United Kingdom",The Level,,,BN1 4ZN,,Round Hill,Brighton,Brighton and Hove,BNH,England,ENG,United Kingdom,gb,0.81,0.81,
LEVEL 8,RSCH,,,,53.49878975,-2.422156267,"8 The Chaddock Level, Salford, M28 1UW, United Kingdom",,8,The Chaddock Level,M28 1UW,,,Salford,Greater Manchester,,England,ENG,United Kingdom,gb,0.81,,
LEVEL 9,RSCH,,,,53.4986856,-2.422728825,"9 The Chaddock Level, Salford, M28 1UW, United Kingdom",,9,The Chaddock Level,M28 1UW,,,Salford,Greater Manchester,,England,ENG,United Kingdom,gb,0.81,,
LANCING 1,BGH,,,,51.45274545,-0.994210374,"1 Lancing Close, Reading, RG30 2UQ, United Kingdom",,1,Lancing Close,RG30 2UQ,,Battle,Reading,West Berkshire,WBK,England,ENG,United Kingdom,gb,0.81,,
1A LEWES ROAD,PARK CRESC NEW SURGERY,BRIGHTON,,BN2 3JJ,50.8322697,-0.1298022,"Kamsons, 1A Lewes Road, Brighton, BN2 3JJ, United Kingdom",Kamsons,1A,Lewes Road,BN2 3JJ,,Round Hill,Brighton,Brighton and Hove,BNH,England,ENG,United Kingdom,gb,0.9,1,1
L10 LEWES,RSCH,,,,50.8746139,0.005115324,"Lewes, ENG, United Kingdom",,,,,,,Lewes,East Sussex,ESX,England,ENG,United Kingdom,gb,0.6666666666666667,1,
188 LEWES ROAD,,BRIGHTON,SUSSEX,BN2 3LA,50.8323347,-0.1294815,"188 Lewes Road, Brighton, BN2 3JJ, United Kingdom",,188,Lewes Road,BN2 3JJ,,Round Hill,Brighton,East Sussex,ESX,England,ENG,United Kingdom,gb,0.48999999999999994,0.7,0.7
27 LINKS ROAD,PORTSLADE,BRIGHTON,SUSSEX,BN14 1XH,50.8413003,-0.3893287,"Links Road, Worthing, BN14 9QY, United Kingdom",Links Road,,Links Road,BN14 9QY,,Salvington,Worthing,West Sussex,WSX,England,ENG,United Kingdom,gb,0.44099999999999995,0.7,0.7
LINWOOD,BUTLERS GREEN ROAD,HAYWARDS HEATH,WEST SUSSEX,RH16 4BE,51.00027705,-0.11561675,"Haywards Heath (Mid Sussex), RH16 4BE, United Kingdom",Haywards Heath,,,RH16 4BE,,,Mid Sussex,West Sussex,WSX,England,ENG,United Kingdom,gb,0.7,1,
original_LINWOOD,original_BUTLERS GREEN ROAD,original_HAYWARDS HEATH,original_WEST SUSSEX,original_RH16 4BE,lat,lon,formatted,housenumber,street,district,suburb,name,postcode,city,county,county_code,state,state_code,country,confidence_street_level,country_code,confidence,confidence_city_level
20 LITTLE CRESENT,ROTTINGDEAN,BRIGHTON,SUSSEX,BN2 7GF,50.80244,-0.04972,"Rottingdean, BN2 7GF, United Kingdom",,,,,Rottingdean,BN2 7GF,Rottingdean,Brighton and Hove,BNH,England,ENG,United Kingdom,,gb,0,1
194 LONDON ROAD,,BURGESS HILL,SUSSEX,,51.558543,-0.197884,"Burgess Hill, London, United Kingdom",,Burgess Hill,Camden,West Hampstead,,,London,London,,England,ENG,United Kingdom,0.567,gb,0.567,0.567
14 LONRIDGE AVENUE,SALTDEAN,BRIGHTON,SUSSEX,BN2 8LG,50.801011,-0.0373772,"Brighton and Hove, BN2 8LG, United Kingdom",,,,,Brighton and Hove,BN2 8LG,,Brighton and Hove,BNH,England,ENG,United Kingdom,,gb,0,1
75 LONGRIDGE AVENUE,SALTDEAN,BRIGHTON,SUSSEX,BN2 8LG,50.801011,-0.0373772,"Brighton and Hove, BN2 8LG, United Kingdom",,,,,Brighton and Hove,BN2 8LG,,Brighton and Hove,BNH,England,ENG,United Kingdom,,gb,0,1
LYDIA,RACH,,,,56.1964769,-3.1700088,"Rach Optometrist, North Street, Glenrothes, KY7 5PP, United Kingdom",,North Street,,Auchmuty,Rach Optometrist,KY7 5PP,Glenrothes,Fife,FIF,Scotland,SCT,United Kingdom,,gb,0,
MANTELL,VHL,,,,,,,,,,,,,,,,,,,,,,
"FLAT A1, MARINE GATE",MARINE DRIVE,BRIGHTON,SUSSEX,BN2 5TN,50.8192607,-0.119429,"Royal Sussex County Hospital, Abbey Road, Brighton, BN2 1HS, United Kingdom",,Abbey Road,,Kemptown,Royal Sussex County Hospital,BN2 1HS,Brighton,Brighton and Hove,BNH,England,ENG,United Kingdom,0.567,gb,0.3969,0.7
THE MARTLETTS HOSPICE,WAYFIELD AVENUE,HOVE SUSSEX,,BN3 7LW,50.8414239,-0.1895913,"Brighton and Hove, BN3 7LW, United Kingdom",,,,,Brighton and Hove,BN3 7LW,,Brighton and Hove,BNH,England,ENG,United Kingdom,,gb,0,1
10 MATLOCK ROAD,,BRIGHTON,SUSSEX,BN1 5BF,50.8313379,-0.1754473,"Sussex Uniforms, Blatchington Road, Hove, BN3 3YG, United Kingdom",,Blatchington Road,,Aldrington,Sussex Uniforms,BN3 3YG,Hove,Brighton and Hove,BNH,England,ENG,United Kingdom,0.1701,gb,0.05103,0.3
MEDICAL ASSESSMENT UNIT,RSCH,,,,50.8197452,-0.116404618,"RSCH Brighton, Turton Close, Brighton, BN2 5DA, United Kingdom",,Turton Close,,Kemptown,RSCH Brighton,BN2 5DA,Brighton,Brighton and Hove,BNH,England,ENG,United Kingdom,,gb,0,
MAXILLOFACIAL OP,RSCH,,,,50.8197452,-0.116404618,"RSCH Brighton, Turton Close, Brighton, BN2 5DA, United Kingdom",,Turton Close,,Kemptown,RSCH Brighton,BN2 5DA,Brighton,Brighton and Hove,BNH,England,ENG,United Kingdom,,gb,0,
MCKEITH UNIT,RACH,,,,56.1964769,-3.1700088,"Rach Optometrist, North Street, Glenrothes, KY7 5PP, United Kingdom",,North Street,,Auchmuty,Rach Optometrist,KY7 5PP,Glenrothes,Fife,FIF,Scotland,SCT,United Kingdom,,gb,0,
1 MEADOW PARADE,ROTTINGDEAN,BRIGHTON,SUSSEX,BN2 7FA,50.81217,-0.06236,"Rottingdean, BN2 7FA, United Kingdom",,,,,Rottingdean,BN2 7FA,Rottingdean,Brighton and Hove,BNH,England,ENG,United Kingdom,,gb,0,1
MERIDIAN SURGERY,RODERICK AVENUE,PEACEHAVEN,SUSSEX,BN10 8NF,50.7933488,-0.00125145,"Peacehaven Infant School, Roderick Avenue, Peacehaven, BN10 8JT, United Kingdom",,Roderick Avenue,Peacehaven,Peacehaven,Peacehaven Infant School,BN10 8JT,Peacehaven,East Sussex,ESX,England,ENG,United Kingdom,0.7,gb,0.3969,0.7
MILE OAK CLINIC,CHALKY ROAD,PORTSLADE,SUSSEX,,51.00476,-0.10069,"Haywards Heath (Mid Sussex District), ENG, United Kingdom",,,Haywards Heath,,,,Mid Sussex District,West Sussex,WSX,England,ENG,United Kingdom,,gb,0.2025,0.81
Mile Oak Clinic,Portslade,East Sussex,,BN41 2WF,50.85129,-0.22657,"Brighton and Hove, BN41 2WF, United Kingdom",,,,,Brighton and Hove,BN41 2WF,,Brighton and Hove,BNH,England,ENG,United Kingdom,,gb,1,1
MILLENIUM MEDICAL CENTRE,118 QUEENS ROAD,BRIGHTON,SUSSEX,BN1 3XG,50.8253255,-0.121912,"Cuthbert Road, Queens Park Terrace, Brighton, BN2 9YA, United Kingdom",,Queens Park Terrace,,Queen's Park,Cuthbert Road,BN2 9YA,Brighton,Brighton and Hove,BNH,England,ENG,United Kingdom,0.147,gb,0.02205,0.3
MILLVIEW HOSPITAL,NEVILLE AVE,HOVE,SUSSEX,,50.8693432,-0.091474302,"Sussex Roots, Coldean, Stanmer, Brighton and Hove, ENG, United Kingdom",,,,Coldean,Sussex Roots,,Stanmer,Brighton and Hove,BNH,England,ENG,United Kingdom,0.567,gb,0.2835,0.9
MONTPERLIER SURGERY,2 VICTORIA ROAD,BRIGHTON,SUSSEX,,50.994664,-0.09311825,"2 Victoria Road, Mid Sussex, RH16 3LY, United Kingdom",2,Victoria Road,Franklands Village,,,RH16 3LY,Mid Sussex,West Sussex,WSX,England,ENG,United Kingdom,0.9,gb,0.9,0.9
24 MONTPELIER CRESENT,,BRIGHTON,SUSSEX,,50.848437,-0.134874,"The City of Brighton and Hove, East Sussex, ENG, UK",,,,,The City of Brighton and Hove,,,East Sussex,ESX,England,ENG,United Kingdom,,gb,0.225,
MORLEY STREET SURGERY,BRIGHTON,SUSSEX,,,50.86438055,-0.086362038,"Sussex House, Southern Ring Road, Brighton, BN1 9RH, United Kingdom",,Southern Ring Road,,,Sussex House,BN1 9RH,Brighton,Brighton and Hove,BNH,England,ENG,United Kingdom,,gb,1,1
MOULSCOOMB CLINIC,HODSHROVE ROAD,MOULSCOOMB,BRIGHTON,,,,,,,,,,,,,,,,,,,,
NEUROLOGICAL REHAB UNIT,BGH,,,,53.2334336,-1.4383024,"Brampton and Gashouse Branch, Dock Walk, Chesterfield, S40 2QR, United Kingdom",,Dock Walk,St Augustines,Boythorpe,Brampton and Gashouse Branch,S40 2QR,Chesterfield,Derbyshire,DBY,England,ENG,United Kingdom,,gb,0,
124 NEW CHURCH ROAD,,HOVE,SUSSEX,BN3 4JB,50.8352056,-0.17018,"Hove, Station Approach, Hove, BN3 3RU, United Kingdom",,Station Approach,,Brunswick,Hove,BN3 3RU,Hove,Brighton and Hove,BNH,England,ENG,United Kingdom,0.7,gb,0.49,0.7
20 NEW CHURCH ROAD,,HOVE,SUSSEX,BN3 4EA,50.84287835,-0.1894508,"Sussex Education Centre, Marshall Way, Portslade by Sea, BN3 7NH, United Kingdom",,Marshall Way,,Hangleton,Sussex Education Centre,BN3 7NH,Portslade by Sea,Brighton and Hove,BNH,England,ENG,United Kingdom,,gb,0,0.7
,NEWICK HEALTH CENTRE,MARBLES ROAD,NEWICK,BN8 4LY,50.9740941,0.017695086,"Newick Health Centre, Marbles Road, Lewes, BN8 4LT, United Kingdom",,Marbles Road,Newick,Newick,Newick Health Centre,BN8 4LT,Lewes,East Sussex,ESX,England,ENG,United Kingdom,1,gb,0.7,1
1A LEWES ROAD,,BRIGHTON,SUSSEX,BN2 3JJ,50.8322697,-0.1298022,"Hanover & Queen's Park, Brighton, BN2 3JJ, United Kingdom",,,,Queen's Park,Hanover & Queen's Park,BN2 3JJ,Brighton,Brighton and Hove,BNH,England,ENG,United Kingdom,1,gb,0.95,1
